userId,firstName,lastName,phoneNumber,emailAddress
1,Krish,,123456,krish.lee@learningcontainer.com
2,racks,jacson,123456,racks.jacson@learningcontainer.com
3,denial,roast,33333333,denial.roast@learningcontainer.com
4,devid,neo,222222222,devid.neo@learningcontainer.com
5,jone,mac,111111111,jone.mac@learningcontainer.com
6,Alex,Smith,7890123456,alex.smith@learningcontainer.com
7,Ben,Johnson,7777777,ben.johnson@learningcontainer.com
8,Elena,Rodriguez,9999999,eleonor.rodriguez@learningcontainer.com
9,Ivan,Petrov,8888888888,ivan.petrov@learningcontainer.com
10,Mary,Williams,6666666666,mary.williams@learningcontainer.com
